#steps	current_bs	data	loss	accuracy
101	32	3232	0.4981	39.63
202	32	6464	0.4248	59.91
303	32	9696	0.3804	72.09
404	37	13433	0.3209	80.38
505	37	17170	0.2738	85.76
606	39	21109	0.2356	89.23
707	41	25250	0.2127	91.40
808	45	29795	0.1929	92.72
909	45	34340	0.1785	93.63
1010	58	40198	0.1569	94.64
1111	58	46056	0.1431	95.28
1212	63	52419	0.1340	95.73
1313	79	60398	0.1237	96.10
1414	79	68377	0.1147	96.41
1515	87	77164	0.1068	96.71
1616	87	85951	0.1013	96.91
1717	88	94839	0.0985	96.95
1818	102	105141	0.0944	97.09
1919	102	115443	0.0907	97.23
2020	103	125846	0.0868	97.35
2121	103	136249	0.0858	97.35
2222	115	147864	0.0841	97.43
2323	134	161398	0.0812	97.50
2424	136	175134	0.0789	97.57
2525	136	188870	0.0788	97.54
2626	142	203212	0.0766	97.55
2727	151	218463	0.0744	97.66
2828	151	233714	0.0729	97.69
2929	167	250581	0.0713	97.77
3030	167	267448	0.0696	97.81
3131	184	286032	0.0683	97.85
3232	187	304919	0.0673	97.88
3333	193	324412	0.0669	97.92
3434	193	343905	0.0665	97.95
3535	193	363398	0.0662	97.93
3636	220	385618	0.0649	97.98
3737	220	407838	0.0648	97.99
3838	229	430967	0.0641	98.03
