#steps	current_bs	data	loss	accuracy
101	64	6464	0.4620	41.24
202	64	12928	0.3938	61.30
303	64	19392	0.3324	73.93
404	64	25856	0.2819	81.87
505	65	32421	0.2462	86.77
606	66	39087	0.2136	89.99
707	66	45753	0.1903	92.12
808	66	52419	0.1724	93.40
909	68	59287	0.1544	94.46
1010	69	66256	0.1422	95.15
1111	69	73225	0.1335	95.48
1212	70	80295	0.1229	95.96
1313	70	87365	0.1179	96.24
1414	71	94536	0.1121	96.44
1515	73	101909	0.1100	96.51
1616	73	109282	0.1054	96.66
1717	74	116756	0.1005	96.83
1818	74	124230	0.0954	96.99
1919	76	131906	0.0945	97.05
2020	76	139582	0.0920	97.13
2121	77	147359	0.0882	97.21
2222	78	155237	0.0854	97.36
2323	79	163216	0.0831	97.43
2424	79	171195	0.0820	97.48
2525	79	179174	0.0810	97.49
2626	79	187153	0.0804	97.54
2727	79	195132	0.0800	97.57
2828	79	203111	0.0789	97.56
2929	79	211090	0.0795	97.56
3030	80	219170	0.0778	97.60
3131	80	227250	0.0766	97.67
3232	80	235330	0.0752	97.69
3333	81	243511	0.0753	97.71
3434	82	251793	0.0752	97.68
3535	82	260075	0.0729	97.75
3636	83	268458	0.0710	97.84
3737	84	276942	0.0702	97.85
3838	85	285527	0.0697	97.88
3939	85	294112	0.0693	97.88
4040	87	302899	0.0675	97.94
4141	87	311686	0.0666	98.00
