#steps	current_bs	data	loss	accuracy
101	32	3232	0.4981	39.63
202	32	6464	0.4248	59.91
303	32	9696	0.3804	72.09
404	32	12928	0.3326	79.88
505	32	16160	0.2956	84.93
606	32	19392	0.2564	88.53
707	32	22624	0.2275	90.76
808	32	25856	0.2020	92.46
909	32	29088	0.1799	93.64
1010	32	32320	0.1650	94.35
1111	32	35552	0.1531	94.94
1212	32	38784	0.1468	95.18
1313	32	42016	0.1406	95.39
1414	32	45248	0.1364	95.54
1515	32	48480	0.1326	95.80
1616	32	51712	0.1346	95.71
1717	32	54944	0.1261	96.04
1818	32	58176	0.1247	96.08
1919	32	61408	0.1199	96.23
2020	32	64640	0.1151	96.35
2121	32	67872	0.1158	96.31
2222	32	71104	0.1146	96.40
2323	32	74336	0.1115	96.54
2424	32	77568	0.1127	96.49
2525	32	80800	0.1131	96.49
2626	32	84032	0.1096	96.63
2727	32	87264	0.1126	96.61
2828	32	90496	0.1086	96.73
2929	32	93728	0.1074	96.75
3030	32	96960	0.1051	96.81
3131	32	100192	0.1007	96.95
3232	32	103424	0.1001	96.96
3333	32	106656	0.0995	96.95
3434	32	109888	0.0988	97.05
3535	32	113120	0.0977	97.12
3636	32	116352	0.0943	97.19
3737	32	119584	0.0933	97.23
3838	32	122816	0.0937	97.23
3939	32	126048	0.0943	97.17
4040	32	129280	0.0881	97.35
4141	32	132512	0.0887	97.38
4242	32	135744	0.0882	97.35
4343	32	138976	0.0866	97.40
4444	32	142208	0.0861	97.46
4545	32	145440	0.0873	97.42
4646	32	148672	0.0857	97.45
4747	32	151904	0.0854	97.49
4848	32	155136	0.0832	97.55
4949	32	158368	0.0835	97.49
5050	32	161600	0.0831	97.53
5151	32	164832	0.0851	97.38
5252	32	168064	0.0855	97.34
5353	32	171296	0.0894	97.32
5454	32	174528	0.0861	97.38
5555	32	177760	0.0810	97.52
5656	32	180992	0.0809	97.57
5757	32	184224	0.0807	97.60
5858	32	187456	0.0786	97.68
5959	32	190688	0.0817	97.57
6060	32	193920	0.0825	97.52
6161	32	197152	0.0808	97.63
6262	32	200384	0.0802	97.63
6363	32	203616	0.0777	97.66
6464	32	206848	0.0773	97.67
6565	32	210080	0.0771	97.66
6666	32	213312	0.0837	97.49
6767	32	216544	0.0826	97.57
6868	32	219776	0.0836	97.56
6969	32	223008	0.0807	97.65
7070	32	226240	0.0760	97.70
7171	32	229472	0.0732	97.79
7272	32	232704	0.0742	97.76
7373	32	235936	0.0732	97.80
7474	32	239168	0.0721	97.78
7575	32	242400	0.0734	97.74
7676	32	245632	0.0744	97.73
7777	32	248864	0.0779	97.72
7878	32	252096	0.0755	97.77
7979	32	255328	0.0748	97.78
8080	32	258560	0.0747	97.81
8181	32	261792	0.0746	97.82
8282	32	265024	0.0809	97.68
8383	32	268256	0.0772	97.73
8484	32	271488	0.0751	97.78
8585	32	274720	0.0735	97.78
8686	32	277952	0.0732	97.84
8787	32	281184	0.0740	97.83
8888	32	284416	0.0727	97.90
8989	32	287648	0.0738	97.89
9090	32	290880	0.0783	97.77
9191	32	294112	0.0759	97.83
9292	32	297344	0.0778	97.83
9393	32	300576	0.0777	97.81
9494	32	303808	0.0754	97.87
9595	32	307040	0.0780	97.85
9696	32	310272	0.0816	97.67
9797	32	313504	0.0782	97.77
9898	32	316736	0.0777	97.71
9999	32	319968	0.0765	97.74
10100	32	323200	0.0752	97.83
10201	32	326432	0.0748	97.84
10302	32	329664	0.0730	97.92
10403	32	332896	0.0701	97.97
10504	32	336128	0.0690	98.02
