#steps	current_bs	data	loss	accuracy
101	128	12928	0.4539	41.33
202	128	25856	0.3820	61.48
303	128	38784	0.3207	74.15
404	128	51712	0.2702	82.14
505	128	64640	0.2321	87.14
606	128	77568	0.2020	90.34
707	131	90799	0.1755	92.62
808	131	104030	0.1573	94.02
909	133	117463	0.1441	94.84
1010	134	130997	0.1310	95.61
1111	134	144531	0.1208	96.01
1212	134	158065	0.1133	96.31
1313	134	171599	0.1076	96.47
1414	135	185234	0.1017	96.71
1515	142	199576	0.0986	96.80
1616	142	213918	0.0930	97.01
1717	142	228260	0.0888	97.14
1818	142	242602	0.0876	97.18
1919	142	256944	0.0850	97.26
2020	154	272498	0.0832	97.33
2121	154	288052	0.0818	97.37
2222	162	304414	0.0793	97.45
2323	162	320776	0.0776	97.48
2424	178	338754	0.0759	97.57
2525	178	356732	0.0766	97.58
2626	178	374710	0.0742	97.66
2727	178	392688	0.0728	97.75
2828	178	410666	0.0708	97.82
2929	199	430765	0.0691	97.87
3030	216	452581	0.0681	97.91
3131	216	474397	0.0665	97.94
3232	217	496314	0.0648	97.97
3333	231	519645	0.0646	98.00
