tsteps	current_bs	#data	loss	accuracy
100	384	38400	0.3438	90.58
200	384	76800	0.3085	91.41
300	389	115700	0.2918	91.83
400	392	154900	0.2873	91.80
500	394	194300	0.2856	91.98
600	418	236100	0.2825	92.06
700	372	273300	0.2779	92.10
800	416	314900	0.2754	92.10
900	361	351000	0.2773	92.24
1000	402	391200	0.2778	92.28
1100	371	428300	0.2769	92.23
1200	348	463100	0.2741	92.14
1300	437	506800	0.2744	92.16
1400	403	547100	0.2763	92.23
1500	371	584200	0.2751	92.24
1600	417	625900	0.2736	92.22
1700	419	667800	0.2721	92.30
1800	410	708800	0.2696	92.18
1900	418	750600	0.2686	92.33
2000	413	791900	0.2720	92.34
2100	443	836200	0.2732	92.34
2200	393	875500	0.2706	92.35
2300	432	918700	0.2640	92.36
2400	405	959200	0.2714	92.40
2500	369	996100	0.2681	92.43
