#steps	current_bs	data	loss	accuracy
101	64	6464	0.4745	25.76
202	64	12928	0.4479	38.60
303	65	19493	0.4235	49.01
404	74	26967	0.4011	57.38
505	75	34542	0.3830	64.13
606	75	42117	0.3695	69.45
707	88	51005	0.3565	73.85
808	88	59893	0.3511	77.18
909	89	68882	0.3399	80.08
1010	89	77871	0.3313	82.43
1111	89	86860	0.3235	84.27
1212	91	96051	0.3168	85.77
1313	96	105747	0.3137	86.88
1414	104	116251	0.3092	87.80
1515	104	126755	0.3047	88.64
1616	104	137259	0.3013	89.26
1717	109	148268	0.2991	89.79
1818	118	160186	0.2965	90.22
1919	118	172104	0.2951	90.64
2020	138	186042	0.2931	90.89
2121	138	199980	0.2929	91.11
2222	161	216241	0.2895	91.33
2323	172	233613	0.2871	91.50
2424	172	250985	0.2847	91.62
2525	172	268357	0.2847	91.69
2626	175	286032	0.2833	91.81
2727	175	303707	0.2820	91.93
2828	200	323907	0.2814	92.01
