tsteps	current_bs	#data	loss	accuracy
100	384	38400	0.3438	90.58
200	384	76800	0.3085	91.41
300	380	114800	0.2914	91.92
400	385	153300	0.2872	91.76
500	389	192200	0.2843	91.95
600	392	231400	0.2826	92.01
700	390	270400	0.2774	92.17
800	389	309300	0.2804	92.09
900	382	347500	0.2786	92.34
1000	386	386100	0.2763	92.26
1100	386	424700	0.2804	92.18
1200	389	463600	0.2748	92.15
1300	387	502300	0.2740	92.29
1400	394	541700	0.2772	92.26
1500	391	580800	0.2740	92.33
1600	385	619300	0.2739	92.31
1700	385	657800	0.2716	92.39
1800	387	696500	0.2714	92.42
1900	395	736000	0.2739	92.25
2000	393	775300	0.2709	92.32
2100	386	813900	0.2720	92.35
2200	398	853700	0.2697	92.32
2300	394	893100	0.2672	92.42
2400	386	931700	0.2697	92.26
2500	387	970400	0.2693	92.41
