#steps	current_bs	data	loss	accuracy
101	128	12928	0.4691	25.98
202	128	25856	0.4383	39.02
303	128	38784	0.4101	49.49
404	133	52217	0.3877	57.89
505	133	65650	0.3694	64.64
606	135	79285	0.3543	70.03
707	135	92920	0.3403	74.41
808	135	106555	0.3311	77.83
909	137	120392	0.3244	80.61
1010	137	134229	0.3173	82.85
1111	137	148066	0.3105	84.69
1212	137	161903	0.3055	86.14
1313	138	175841	0.3015	87.33
1414	141	190082	0.2984	88.26
1515	142	204424	0.2959	89.01
1616	142	218766	0.2925	89.63
1717	144	233310	0.2898	90.16
1818	144	247854	0.2877	90.53
1919	146	262600	0.2869	90.85
2020	146	277346	0.2869	91.05
2121	146	292092	0.2876	91.21
2222	146	306838	0.2863	91.35
2323	148	321786	0.2853	91.46
2424	148	336734	0.2847	91.60
2525	151	351985	0.2842	91.68
2626	152	367337	0.2834	91.71
2727	152	382689	0.2812	91.83
2828	154	398243	0.2808	91.89
2929	156	413999	0.2791	91.98
3030	156	429755	0.2785	92.01
