tsteps	current_bs	#data	loss	accuracy
100	64	6400	0.4050	88.10
200	64	12800	0.2914	91.39
300	64	19200	0.2404	92.88
400	64	25600	0.2061	93.78
500	64	32000	0.1827	94.29
600	64	38400	0.1739	94.48
700	64	44800	0.1562	95.27
800	64	51200	0.1408	95.50
900	64	57600	0.1287	95.91
1000	64	64000	0.1170	96.50
1100	64	70400	0.1168	96.43
1200	64	76800	0.1139	96.62
1300	64	83200	0.1081	96.75
1400	64	89600	0.1100	96.57
1500	64	96000	0.1062	96.73
1600	64	102400	0.1059	96.61
1700	64	108800	0.0994	96.89
1800	64	115200	0.0936	97.14
1900	64	121600	0.0966	97.03
2000	64	128000	0.0874	97.29
2100	64	134400	0.0907	97.23
2200	64	140800	0.0901	97.31
2300	64	147200	0.0838	97.32
2400	64	153600	0.0938	96.96
2500	64	160000	0.0838	97.47
2600	64	166400	0.0888	97.42
2700	64	172800	0.0832	97.29
2800	64	179200	0.0823	97.47
2900	64	185600	0.0796	97.52
3000	64	192000	0.0817	97.37
3100	64	198400	0.0746	97.72
3200	64	204800	0.0782	97.55
3300	64	211200	0.0834	97.53
3400	64	217600	0.0763	97.73
3500	64	224000	0.0766	97.73
3600	64	230400	0.0746	97.65
3700	64	236800	0.0771	97.68
3800	64	243200	0.0761	97.73
3900	64	249600	0.0749	97.68
4000	64	256000	0.0719	97.82
4100	64	262400	0.0683	97.93
4200	64	268800	0.0683	97.93
4300	64	275200	0.0700	97.93
4400	64	281600	0.0685	98.02
4500	64	288000	0.0780	97.60
4600	64	294400	0.0741	97.73
4700	64	300800	0.0665	97.90
4800	64	307200	0.0699	97.80
4900	64	313600	0.0699	97.94
5000	64	320000	0.0667	97.95
5100	64	326400	0.0640	98.09
5200	64	332800	0.0682	97.91
5300	64	339200	0.0708	97.92
5400	64	345600	0.0622	98.11
5500	64	352000	0.0632	98.19
5600	64	358400	0.0692	97.88
5700	64	364800	0.0659	97.98
5800	64	371200	0.0645	98.09
5900	64	377600	0.0665	98.02
