#steps	current_bs	data	loss	accuracy
101	96	9696	0.4745	25.82
202	96	19392	0.4438	38.83
303	96	29088	0.4167	49.24
404	96	38784	0.3939	57.64
505	96	48480	0.3777	64.32
606	96	58176	0.3621	69.76
707	96	67872	0.3483	74.16
808	96	77568	0.3404	77.59
909	96	87264	0.3329	80.32
1010	96	96960	0.3255	82.62
1111	96	106656	0.3192	84.42
1212	96	116352	0.3134	85.93
1313	96	126048	0.3107	87.03
1414	96	135744	0.3073	87.96
1515	96	145440	0.3033	88.74
1616	96	155136	0.3011	89.35
1717	96	164832	0.2989	89.83
1818	96	174528	0.2966	90.27
1919	96	184224	0.2958	90.59
2020	96	193920	0.2963	90.78
2121	96	203616	0.2958	91.02
2222	96	213312	0.2938	91.26
2323	96	223008	0.2928	91.36
2424	96	232704	0.2922	91.43
2525	96	242400	0.2916	91.49
2626	96	252096	0.2901	91.63
2727	96	261792	0.2893	91.66
2828	96	271488	0.2877	91.78
2929	96	281184	0.2853	91.88
3030	96	290880	0.2850	91.95
3131	96	300576	0.2845	92.00
