tsteps	current_bs	#data	loss	accuracy
100	32	3200	0.4836	84.70
200	32	6400	0.3185	90.42
300	32	9600	0.3071	90.65
400	36	13200	0.2230	93.18
500	36	16800	0.2087	93.43
600	36	20400	0.1907	93.98
700	36	24000	0.1770	94.40
800	41	28100	0.1644	95.11
900	41	32200	0.1577	94.97
1000	41	36300	0.1415	95.67
1100	41	40400	0.1483	95.45
1200	44	44800	0.1281	95.96
1300	44	49200	0.1194	96.30
1400	44	53600	0.1204	96.16
1500	52	58800	0.1052	96.69
1600	52	64000	0.1040	96.76
1700	52	69200	0.1009	96.77
1800	52	74400	0.1059	96.69
1900	60	80400	0.0934	97.11
2000	60	86400	0.0850	97.27
2100	60	92400	0.0894	97.26
2200	72	99600	0.0859	97.34
2300	72	106800	0.0832	97.43
2400	74	114200	0.0847	97.29
2500	74	121600	0.0833	97.41
2600	83	129900	0.0825	97.37
2700	83	138200	0.0792	97.70
2800	87	146900	0.0772	97.62
2900	87	155600	0.0769	97.65
3000	93	164900	0.0751	97.80
3100	93	174200	0.0753	97.70
3200	97	183900	0.0727	97.78
3300	97	193600	0.0760	97.74
3400	97	203300	0.0707	97.75
3500	123	215600	0.0734	97.70
3600	123	227900	0.0717	97.84
3700	123	240200	0.0669	97.98
3800	123	252500	0.0672	97.95
3900	127	265200	0.0656	97.99
4000	129	278100	0.0667	98.02
4100	134	291500	0.0632	98.02
4200	134	304900	0.0664	97.90
4300	156	320500	0.0625	97.97
4400	156	336100	0.0660	98.03
4500	161	352200	0.0648	98.02
4600	161	368300	0.0610	98.16
4700	179	386200	0.0639	98.14
