#steps	current_bs	data	loss	accuracy
101	32	3232	0.5024	24.73
202	32	6464	0.4863	37.23
303	32	9696	0.4572	47.84
404	32	12928	0.4413	56.15
505	33	16261	0.4250	62.98
606	34	19695	0.4114	68.40
707	34	23129	0.3996	72.70
808	40	27169	0.3888	76.22
909	40	31209	0.3806	79.04
1010	40	35249	0.3719	81.38
1111	40	39289	0.3646	83.16
1212	43	43632	0.3599	84.63
1313	43	47975	0.3555	85.85
1414	43	52318	0.3553	86.66
1515	48	57166	0.3480	87.61
1616	48	62014	0.3397	88.41
1717	48	66862	0.3343	89.00
1818	52	72114	0.3364	89.21
1919	52	77366	0.3301	89.70
2020	52	82618	0.3273	89.98
2121	57	88375	0.3303	89.98
2222	57	94132	0.3252	90.28
2323	59	100091	0.3225	90.47
2424	59	106050	0.3194	90.69
2525	62	112312	0.3147	90.91
2626	62	118574	0.3129	91.04
2727	65	125139	0.3099	91.14
2828	65	131704	0.3067	91.25
2929	65	138269	0.3075	91.28
3030	65	144834	0.3073	91.31
3131	75	152409	0.3061	91.37
3232	75	159984	0.3037	91.43
3333	75	167559	0.3023	91.47
3434	78	175437	0.3029	91.42
3535	78	183315	0.3012	91.53
3636	90	192405	0.2975	91.65
3737	90	201495	0.2958	91.72
3838	97	211292	0.2957	91.72
3939	97	221089	0.2930	91.84
4040	101	231290	0.2905	91.88
4141	105	241895	0.2885	91.89
4242	105	252500	0.2871	91.93
4343	115	264115	0.2861	91.98
4444	120	276235	0.2846	92.05
